city,ue,type,area,area_rate,area_rate_se,count,count_rate,count_rate_se
beijing,0,Commercial,26241977.50018,0.046424837980758325,0.004948917934209302,411,0.0945479641131815,0.004437761882492538
beijing,0,Industrial,47152161.805991,0.08341716900986666,0.009254678919223129,709,0.16310098918794572,0.0056036371349797755
beijing,0,Institutional,60055661.069397,0.10624482605988696,0.013195605519041365,372,0.08557625948930296,0.004242829464356569
beijing,0,Park,88691705.42672,0.15690502191172054,0.01717370446453194,331,0.07614446744881527,0.004022780985416137
beijing,0,Residential,34974947.583329,0.061874387131473856,0.0052612023025239325,522,0.12008281573498965,0.00493022240479029
beijing,1,Commercial,36414241.51663,0.06442065056225872,0.004972366691357849,411,0.0945479641131815,0.004437761882492538
beijing,1,Industrial,26736194.604856,0.04729916039078804,0.006787527579761073,259,0.05958132045088567,0.003590218374818631
beijing,1,Institutional,132235097.525474,0.2339378950365992,0.015601058573895838,565,0.1299746951920865,0.005100356415504101
beijing,1,Park,68952558.862768,0.12198438069466178,0.011788004889262614,319,0.07338394294916034,0.003955083093805208
beijing,1,Residential,43802731.061798,0.077491671221986,0.005205869899619711,448,0.10305958132045089,0.004611382682645486
london,0,Commercial,47283178.740937,0.21807108239909387,0.012221744199354956,2202,0.20231532524807055,0.00385066509642732
london,0,Industrial,4532022.21936,0.020901788271204414,0.004460532465569846,107,0.009830944505696436,0.0009457101073338541
london,0,Institutional,41997666.179046,0.19369417974369643,0.014843170488536074,1051,0.09656376332230797,0.0028311415134108396
london,0,Park,28892193.46551,0.1332514452217418,0.015692430487222915,430,0.039507533994854835,0.0018672078993137008
london,0,Residential,44034875.234351,0.20308983366530908,0.0067608384717398546,5042,0.46324880558618153,0.004779686336997122
london,1,Commercial,8178170.7901449995,0.03771790737722789,0.0033954435929286477,290,0.026644615950018376,0.0015436405678670839
london,1,Industrial,1019078.050752,0.004700010859977208,0.0017761389323367486,22,0.002021315692760015,0.0004305101944546968
london,1,Institutional,19683561.212533,0.09078102643233647,0.006279056249531869,537,0.049338478500551265,0.002075924563434947
london,1,Park,6085529.103616,0.028066596915316235,0.0034911560926973624,205,0.018834987137081954,0.001303045030034102
london,1,Residential,15118341.182816,0.06972612911409663,0.003339627050260071,998,0.09169423006247703,0.002766258580460209
mumbai,0,Commercial,20608547.719251,0.10356096730785001,0.01095207575684637,458,0.0986431186732716,0.004376051704283418
mumbai,0,Industrial,38546085.394187,0.19369971837579228,0.022154908311190137,265,0.057075166917940984,0.0034045740930959594
mumbai,0,Institutional,47702039.160725,0.23970972556338702,0.03431815698926323,624,0.1343958647426233,0.0050055669264059185
mumbai,0,Park,16265809.483000001,0.08173807233059611,0.01168955343525766,373,0.08033598966185655,0.003989057788910918
mumbai,0,Residential,65040787.277573,0.326839471499371,0.02039558690369765,2669,0.574843850958432,0.007255207461977103
mumbai,1,Commercial,1656512.544043,0.008324217880643334,0.0019032158738264942,38,0.008184363558044368,0.0013222348209165505
mumbai,1,Industrial,757897.33908,0.0038085450088194274,0.0020554027524321353,8,0.0017230239069567091,0.0006086559014495157
mumbai,1,Institutional,2551076.646249,0.012819533368439325,0.0024900879132579855,57,0.012276545337066552,0.0016160560801800092
mumbai,1,Park,2414048.830778,0.012130948548607388,0.0022802490018372103,52,0.011199655395218609,0.0015443911088524537
mumbai,1,Residential,3456377.005082,0.017368800116494127,0.0026508428308661233,99,0.021322420848589273,0.002120014020742942
newyork,0,Commercial,13896731.636391,0.1382351943838389,0.00864155150356256,1155,0.1900608853052493,0.0050330117265932695
newyork,0,Industrial,1532675.286076,0.015246006877128166,0.006483527779271052,19,0.003126542701991114,0.0007161559103474455
newyork,0,Institutional,12290316.839858,0.12225567722324959,0.019648865256705502,493,0.0811255553727168,0.0035023723039536935
newyork,0,Park,21380731.685509,0.2126809150487852,0.03447209694112567,479,0.07882178706598651,0.0034566097391155915
newyork,0,Residential,43636986.865333,0.4340709398070303,0.022679993185461968,3542,0.5828533816027646,0.00632527491166016
newyork,1,Commercial,367200.586694,0.0036526606260842516,0.0012232770908873502,17,0.0027974329438867863,0.0006775274857617852
newyork,1,Institutional,1724067.620579,0.01714984709336407,0.004518553835148516,45,0.007404969557347376,0.0010997730391916257
newyork,1,Park,1054776.363102,0.010492194812416334,0.002309696473154748,51,0.008392298831660358,0.001170215367886271
newyork,1,Residential,4646133.654364,0.046216564128103065,0.004233376800051917,276,0.045417146618397235,0.002670989121687905
