Model,TP,FP,FN,TN,Accuracy,Precision,Recall,F1-score
Mapillary,493,8,7,492,0.985,0.984,0.986,0.985
COCO,456,76,44,424,0.88,0.8571,0.912,0.8837
Cityscapes,485,284,15,216,0.701,0.6307,0.97,0.7644
ADE20K,428,145,72,355,0.783,0.7469,0.856,0.7978
