city,n_samples,TP,FP,FN,TN,Accuracy,Precision,Recall,F1-score
all,5202,605,283,73,4241,0.932 ,0.681 ,0.892 ,0.773 
beijing,881,396,23,61,401,0.905 ,0.945 ,0.867 ,0.904 
london,2177,122,210,2,1843,0.903 ,0.367 ,0.984 ,0.535 
newyork,1215,45,39,0,1131,0.968 ,0.536 ,1.000 ,0.698 
mumbai,929,42,11,10,866,0.977 ,0.792 ,0.808 ,0.800 
